시도명,시군구명,0~5,6~10,11~15,16~20,21~25,26~30,31~35,36~40,41~45,46~50,51~55,56~60,61~65,66~70,71~75,76~80,81~85,86~90,91~95,96~100,101~105,106~110
강원특별자치도,평창군,1.0,3.0,5.0,29.0,155.0,450.0,416.0,316.0,474.0,615.0,970.0,1346.0,1751.0,1489.0,936.0,797.0,746.0,418.0,138.0,31.0,5.0,1.0
강원특별자치도,홍천군,5.0,2.0,4.0,28.0,419.0,976.0,717.0,473.0,575.0,839.0,1281.0,1833.0,2502.0,2240.0,1385.0,1079.0,1030.0,642.0,197.0,44.0,5.0,1.0
강원특별자치도,화천군,0.0,1.0,2.0,33.0,645.0,683.0,372.0,186.0,186.0,249.0,369.0,598.0,779.0,639.0,381.0,357.0,398.0,210.0,66.0,13.0,5.0,0.0
강원특별자치도,횡성군,0.0,0.0,2.0,80.0,187.0,312.0,288.0,216.0,442.0,514.0,976.0,1365.0,1912.0,1654.0,965.0,825.0,758.0,499.0,157.0,32.0,1.0,0.0
경기도,가평군,0.0,1.0,6.0,45.0,450.0,966.0,806.0,590.0,785.0,925.0,1421.0,1852.0,2432.0,2170.0,1361.0,1068.0,931.0,569.0,173.0,34.0,6.0,1.0
경기도,고양시 덕양구,7.0,10.0,23.0,347.0,3182.0,7871.0,9015.0,6068.0,6023.0,5550.0,7151.0,7466.0,8259.0,7233.0,4590.0,4106.0,3500.0,1945.0,627.0,124.0,18.0,1.0
경기도,고양시 일산동구,2.0,21.0,29.0,162.0,2405.0,5645.0,5348.0,3603.0,3841.0,3815.0,4940.0,4273.0,4327.0,3309.0,1924.0,1733.0,1770.0,1213.0,430.0,109.0,13.0,0.0
경기도,고양시 일산서구,6.0,6.0,18.0,75.0,959.0,2866.0,3309.0,2388.0,2331.0,2406.0,3241.0,3191.0,3465.0,2918.0,1795.0,1710.0,1759.0,1183.0,363.0,61.0,4.0,1.0
경기도,과천시,0.0,4.0,1.0,12.0,141.0,579.0,836.0,559.0,443.0,381.0,434.0,421.0,561.0,565.0,446.0,375.0,308.0,207.0,61.0,16.0,1.0,2.0
경기도,광명시,4.0,11.0,8.0,88.0,800.0,3045.0,4015.0,2820.0,2615.0,2370.0,2642.0,2908.0,3555.0,3466.0,2384.0,1936.0,1598.0,807.0,234.0,47.0,8.0,2.0
경기도,광주시,6.0,20.0,24.0,283.0,1454.0,4684.0,5523.0,4525.0,5741.0,5477.0,6721.0,6392.0,7005.0,5574.0,3424.0,2373.0,1801.0,910.0,279.0,52.0,13.0,1.0
경기도,구리시,0.0,4.0,6.0,78.0,880.0,2579.0,2837.0,1981.0,2172.0,1982.0,2577.0,2746.0,3359.0,2785.0,1713.0,1385.0,1110.0,535.0,165.0,24.0,4.0,1.0
경기도,군포시,2.0,12.0,21.0,122.0,1173.0,4056.0,4581.0,2854.0,2870.0,2596.0,3278.0,3465.0,4369.0,3638.0,2211.0,1913.0,1655.0,1116.0,373.0,72.0,10.0,0.0
경기도,김포시,13.0,16.0,36.0,214.0,2826.0,7410.0,7518.0,5522.0,5993.0,5275.0,6075.0,6156.0,6834.0,6016.0,3891.0,3012.0,2307.0,1256.0,400.0,77.0,11.0,2.0
경기도,남양주시,1.0,12.0,31.0,242.0,2578.0,7832.0,8407.0,6367.0,7165.0,7225.0,9325.0,9826.0,11108.0,10130.0,6679.0,5352.0,4497.0,2367.0,789.0,202.0,31.0,8.0
경기도,동두천시,5.0,12.0,8.0,98.0,574.0,1052.0,986.0,795.0,1087.0,1176.0,1846.0,2064.0,2403.0,2206.0,1526.0,1484.0,1339.0,652.0,222.0,48.0,7.0,2.0
경기도,부천시 소사구,8.0,10.0,14.0,100.0,859.0,2317.0,2824.0,2252.0,2369.0,2227.0,2801.0,3101.0,3907.0,3658.0,2578.0,1886.0,1507.0,784.0,251.0,53.0,6.0,3.0
경기도,부천시 오정구,1.0,7.0,12.0,33.0,497.0,1639.0,1868.0,1451.0,1768.0,1892.0,2643.0,3020.0,3538.0,2908.0,1679.0,1330.0,1171.0,650.0,206.0,35.0,1.0,0.0
경기도,부천시 원미구,8.0,26.0,42.0,413.0,3110.0,7105.0,7043.0,5027.0,5000.0,4590.0,5729.0,5812.0,6689.0,5570.0,3404.0,2537.0,2139.0,1185.0,441.0,102.0,10.0,1.0
경기도,성남시 분당구,5.0,14.0,37.0,160.0,2387.0,9919.0,9717.0,5805.0,5081.0,4100.0,4224.0,3344.0,3920.0,3658.0,2628.0,2501.0,2176.0,1490.0,604.0,100.0,9.0,1.0
경기도,성남시 수정구,5.0,14.0,15.0,524.0,3232.0,6159.0,5670.0,3732.0,3847.0,3474.0,4567.0,4706.0,5348.0,4720.0,3125.0,2473.0,1816.0,787.0,233.0,34.0,8.0,0.0
경기도,성남시 중원구,3.0,10.0,19.0,266.0,2023.0,5365.0,4678.0,3086.0,3065.0,2844.0,3527.0,3890.0,4588.0,3853.0,2555.0,1949.0,1442.0,758.0,195.0,30.0,4.0,5.0
경기도,수원시 권선구,5.0,20.0,22.0,215.0,3094.0,9208.0,8460.0,5426.0,5320.0,4532.0,5297.0,5126.0,5804.0,4545.0,2792.0,2177.0,1664.0,913.0,291.0,47.0,6.0,0.0
경기도,수원시 영통구,1.0,14.0,10.0,577.0,6259.0,12767.0,10482.0,5406.0,4362.0,3320.0,3166.0,2748.0,2818.0,2273.0,1558.0,1335.0,1028.0,591.0,165.0,32.0,7.0,1.0
경기도,수원시 장안구,3.0,8.0,27.0,496.0,4797.0,5762.0,4630.0,2822.0,2832.0,2759.0,3559.0,3870.0,4487.0,3734.0,2514.0,2070.0,1809.0,1097.0,380.0,69.0,6.0,0.0
경기도,수원시 팔달구,3.0,11.0,31.0,332.0,3979.0,7559.0,6107.0,3498.0,3292.0,3002.0,3506.0,3423.0,3896.0,3225.0,2097.0,1697.0,1393.0,681.0,217.0,41.0,7.0,3.0
경기도,시흥시,20.0,56.0,72.0,707.0,3901.0,8321.0,9218.0,7125.0,8068.0,7675.0,9131.0,8798.0,8519.0,6173.0,3625.0,2644.0,2278.0,1236.0,412.0,87.0,12.0,1.0
경기도,안산시 단원구,12.0,39.0,73.0,345.0,2850.0,6572.0,5998.0,4001.0,4317.0,4386.0,5600.0,5663.0,5621.0,4096.0,2466.0,1818.0,1466.0,941.0,304.0,72.0,7.0,3.0
경기도,안산시 상록구,10.0,30.0,59.0,543.0,4131.0,5892.0,5529.0,3846.0,4649.0,5019.0,6371.0,6702.0,6512.0,4677.0,2764.0,2348.0,2113.0,1239.0,420.0,100.0,16.0,4.0
경기도,안성시,4.0,10.0,10.0,487.0,2656.0,3867.0,3445.0,2700.0,3026.0,2902.0,3829.0,3983.0,4584.0,3614.0,2347.0,1903.0,1737.0,1104.0,380.0,61.0,11.0,0.0
경기도,안양시 동안구,3.0,4.0,18.0,102.0,1136.0,4684.0,5409.0,3431.0,2914.0,2434.0,2879.0,2710.0,3362.0,2976.0,1899.0,1699.0,1376.0,846.0,332.0,45.0,6.0,2.0
경기도,안양시 만안구,2.0,6.0,7.0,335.0,1695.0,3295.0,3447.0,2395.0,2510.0,2266.0,2977.0,3426.0,4298.0,3700.0,2418.0,1880.0,1607.0,912.0,281.0,59.0,7.0,1.0
